feature,importance
tag_count,0.09409446966027145
game_age_years,0.05591302586343945
has_trading_cards,0.02565268242670886
price,0.01912898278353868
discount,0.017930762038889547
supported_languages_count,0.0140729443355474
achievements,0.012941769911534645
metacritic_score,0.007495274200428906
about_word_count,0.00731320788553691
has_family_sharing,0.006952901424383595
has_steam_cloud,0.006769749168076836
about_length,0.006496141856635357
is_action,0.005198755439176528
has_multiplayer,0.004194839244915774
is_indie,0.0038642213505662437
dlc_count,0.00377699880430607
is_simulation,0.003680989711853544
has_support_url,0.0021401427600356016
is_rpg,0.0018307354929302938
genre_count,0.0017921644199385134
linux,0.001569572196007618
is_casual,0.0013949799832102538
is_adventure,0.0012584608088122978
release_year,0.0010895824632967122
full_audio_languages_count,0.0006861402516126214
category_count,0.0004014120565261903
is_strategy,0.0002656066784843397
has_coop,0.00020718576814815481
mac,0.00011275745193735365
required_age,0.0001037540348232252
windows,0.0
has_achievements,0.0
log_achievements,0.0
has_metacritic,0.0
log_price,0.0
has_singleplayer,-0.0004015140840764181
free_to_play,-0.0007502128116461254
has_steam_achievements,-0.000825189220555203
vr_supported,-0.00094424126022008
is_early_access,-0.0010266252835217093
has_website,-0.0012111789095285985
