group,value,games,success_rate,median_score,median_price,median_reviews
Gratuito,0,96405,0.3335822830766039,0.465069202600093,3.49,10.0
Gratuito,1,26206,0.17648630084713424,0.29560153656686594,0.0,0.0
Multiplayer,0,100654,0.2674806763764977,0.4458433582631248,1.99,5.0
Multiplayer,1,21957,0.44910506899849706,0.49043478970076093,2.99,22.0
Indie,0,39536,0.2698300283286119,0.42512743554819715,1.99,1.0
Indie,1,83075,0.31436653626241345,0.46384174339985806,2.49,10.0
Com achievements,0,59572,0.1930101389914725,0.42512743554819715,1.79,2.0
Com achievements,1,63039,0.40111676898427956,0.48190619112477673,2.99,17.0
Com Metacritic,0,118355,0.27602551645473367,0.4486603975173516,2.0,6.0
Com Metacritic,1,4256,0.9668703007518797,0.9297175620458198,4.49,1482.5
Single-player,0,14180,0.12362482369534555,0.29560153656686594,0.0,0.0
Single-player,1,108431,0.32307181525578477,0.4622603192209508,2.99,9.0
