,count,mean,std,min,25%,50%,75%,90%,99%,max
owners_midpoint,122611.0,85719.67441746662,1289682.1797453458,0.0,10000.0,10000.0,10000.0,75000.0,1500000.0,150000000.0
peak_ccu,122611.0,54.59332360065573,3729.451567454418,0.0,0.0,0.0,0.0,2.0,223.89999999999418,1013936.0
price,122611.0,4.7650912234628215,12.53102992351739,0.0,0.55,2.24,5.24,9.99,29.99,999.98
total_reviews,122611.0,1214.1835642805295,32636.787163546687,0.0,0.0,7.0,49.0,375.0,15633.09999999954,8815087.0
positive_ratio,82949.0,0.7582759606314259,0.2386912029477944,0.0,0.6496815286624203,0.8181818181818182,0.9444444444444444,1.0,1.0,1.0
recommendations,122611.0,961.824966764809,21878.803991555622,0.0,0.0,0.0,0.0,304.0,12499.099999999948,4830455.0
average_playtime_forever,122611.0,208.0232197763659,11217.684737592155,0.0,0.0,0.0,0.0,233.0,2275.5999999999767,3429544.0
metacritic_score,122611.0,2.5649411553612644,13.660559184047571,0.0,0.0,0.0,0.0,0.0,80.0,97.0
achievements,122611.0,18.08701503127778,141.4938790535225,0.0,0.0,2.0,19.0,38.0,100.0,9821.0
commercial_success_score,122611.0,0.5000040779375423,0.18213891710747254,0.29560153656686594,0.37475022632553356,0.4537056218446958,0.5703868331552634,0.8084193098498504,0.9822727977098302,0.9999013139114762
